Date,V,3350.T,NVDA,3825.T,2559.T,1542.T,INDA,FTN,YINN,XLV,1489.T,8801.T,SHY,9843.T,1364.T,VYM,8766.T,VDC,8630.T,EEM,254A.T,VTI,IWM,Z,IEF,BND,200A.T,2811.T,MSTR,BABA,224A.T,2530.T,8795.T,6072.T,MOS,380A.T,DLO,GLD,VS,8985.T,TDOC,STRL,9434.T,2019.T,9984.T,4707.T,IO,NVDU,EURJPY=X,8802.T,6367.T,PTON,FNGU,LYF,TSM,ADM,2631.T,COIN,VWO,1326.T,PLTR,7453.T,PFFD,180A.T,QQQ,VGK,8737.T,BNDX,MU,2413.T,8600.T,2647.T,TQQQ,1322.T,TMF,2620.T,SOXX,EBIZ,FUTU,VDE,PFF,VBK,CURE,EFA,5838.T,2914.T,9432.T,159A.T,1629.T,VEA,XL,SOXL,1656.T,3863.T,CWEB,EDV,2098.T,2563.T,282A.T,U,AGG,8473.T,BIDU,8173.T,TSLA,CLS,3778.T,DIS,2553.T,1545.T,9506.T,XLP,2568.T,USDJPY=X,VXUS,PSO,1651.T,CXSE,AMZN,PDD,VOO,ZM,2837.T,NOBL,MS,1615.T,3903.T,SPO,ACWI,SPYG,MARA,VIG,TMV,ICLN,1343.T,VXF
2018-01-29,,340.0,,785.8411865234375,,5690.0,,9.19200038909912,,,901.2645874023438,832.0757446289062,,3313.480224609375,,,,,1135.2015380859375,42.71493148803711,,128.9755859375,143.4708251953125,,,,,3720.5078125,,192.79757690429688,,,1528.4951171875,355.279296875,,,,,16.754579544067383,64862.0859375,,,,,4360.42041015625,306.83416748046875,,,,1871.42578125,12127.5556640625,,,,,,,,,13910.0,,1569.590576171875,,,,,394.0260620117188,,,1978.076904296875,447.8268737792969,,,6450.0,,,,,,,,,,58.53146362304688,,,80.97172546386719,,,,,,192.8544158935547,,,,,,,,,952.236328125,253.72999572753903,2839.888427734375,,,,,,,1181.491943359375,,,,,7.895750045776367,922.6660766601562,,,,,,,,,158.34661865234375,1096.797607421875,,,32.863460540771484,,,,,1377.0797119140625,
2018-01-30,,,,,,,,,,,887.4318237304688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1844.8653564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.94851684570312,,,,,,191.95887756347656,1808.9595947265625,,,,,,,,,,,,,814.575439453125,,,7431.50146484375,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,,,,,,,,,,,884.2396240234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1818.7403564453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.27655792236328,,,,,,192.20314025878903,1804.6090087890625,,,,,,,,,,,,,806.808349609375,,,7421.7998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,,,,,,,,,893.816162109375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1816.56298828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95645904541016,,,,,,192.52877807617188,1835.9327392578125,,,,,,,,,,,,,810.6918334960938,,,7509.11474609375,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,330.0,,,,,,8.98799991607666,,,,,,,16304.046875,,1287.4921875,,1089.5255126953125,,,,,,,,,,,,,,1546.4774169921875,370.6843872070313,,,,,16.403379440307617,65023.24609375,,13.260000228881836,,,4253.0947265625,,,,136.86199951171875,1818.3046875,12068.4423828125,,,,,,,,,,,,,,,,390.10540771484375,,,,456.7832946777344,,,6220.0,,,,,,,,,,,,2302.36669921875,,,29504.244140625,,,,,1832.452392578125,,,,,,,,,,,,10.3100004196167,,,,7460.60546875,,45.87834548950195,,,45.87959671020508,,919.522216796875,,,,,,,,,,,,,,,,,,,
2018-02-05,,320.0,,,,,,8.765999794006348,,,,,,,15934.380859375,,1272.469970703125,,1076.865234375,,,,,,,,,,,,,,1539.5904541015625,359.1305847167969,,,,,15.87230396270752,64781.515625,,12.329999923706056,,,4179.01171875,,,,136.9550018310547,1761.70068359375,11681.9248046875,,,,,,,,,,,,,,,,371.8090515136719,,,,448.6410217285156,,,5950.0,,,,,,,,,,,,2282.6337890625,,,28850.41015625,,,,,1805.47900390625,,,,,,,,,,,,10.15999984741211,,,,7285.9755859375,,44.21284484863281,,,44.03504180908203,,906.9478149414062,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,851.2534790039062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682.4544677734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.55815124511719,,,,,,192.8544006347656,1748.921875,,,,,,,,,,,,,733.0208129882812,,,6936.7138671875,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,310.0,,,,,,9.10200023651123,,,,,,,15195.05859375,,1222.969970703125,,1030.6925048828125,,,,,,,,,,,,,,1452.3572998046875,336.9858093261719,,,,,15.87230396270752,62122.578125,,12.789999961853027,,,4125.8251953125,,,,135.72000122070312,1680.712890625,11113.515625,,,,,,,,,,,,,,,,339.136962890625,,,,424.2142028808594,,,6120.0,,,,,,,,,,,,2101.2197265625,,,27624.46875,,,,,1828.1019287109373,,,,,,,,,,,,10.390000343322754,,,,7072.53857421875,,44.50533676147461,,,44.2851448059082,,872.367431640625,,,,,,,,,,,,,,,,,,,
2018-02-08,,320.0,,,,,,8.899999618530273,,,,,,,15350.7060546875,,1236.514404296875,,1033.4229736328125,,,,,,,,,,,,,,1469.9566650390625,338.91143798828125,,,,,14.955774307250977,64056.35546875,,12.170000076293944,,,4166.19189453125,,,,133.95599365234375,1655.023193359375,11445.4658203125,,,,,,,,,,,,,,,,351.5523681640625,,,,415.2576293945313,,,6120.0,,,,,,,,,,,,2064.300537109375,,,27624.46875,,,,,1875.0875244140625,,,,,,,,,,,,10.239999771118164,,,,7111.34521484375,,43.54665756225586,,,43.06585693359375,,879.4407348632812,,,,,,,,,,,,,,,,,,,
2018-02-09,,310.0,,,,,,9.30799961090088,,,,,,,15070.041015625,,1201.298095703125,,1011.5778198242188,,,,,,,,,,,,,,1428.25341796875,322.5435485839844,,,,,15.315532684326172,62444.87109375,,12.56999969482422,,,4182.81201171875,,,,133.06399536132812,1610.175048828125,11018.0244140625,,,,,,,,,,,,,,,,345.0179138183594,,,,406.3011169433594,,,5860.0,,,,,,,,,,,,2036.9287109375,,,27624.46875,,,,,1809.829345703125,,,,,,,,,,,,10.329999923706056,,,,6791.1884765625,,43.636024475097656,,,43.472286224365234,,861.3646850585938,,,,,,,,,,,,,,,,,,,
